,Stage Name,Full Name,Date of Birth,Group,Country,Second Country,Birthplace,Other Group,Former Group,Position
Female,Babysoul,Lee Soojung,1992-07-06,Lovelyz,South Korea,,Gwangju,,,Leader
Female,Bada,Kim Bada,2002-05-28,Hinapia,South Korea,,,,,
Female,Bae,Bae Jinsol,2004-12-28,NMIXX,South Korea,,,,,
Female,Baekah,Kim Sua,1999-10-24,XUM,South Korea,,,,NeonPunch,
Female,Bahiyyih,Huening Bahiyyih,2004-07-27,Kep1er,USA,South Korea,,,,
Female,Bekah,Rebecca Kim,1989-08-11,,South Korea,USA,Honolulu,,After School,
Female,Belle,Jin Hyeonjoo,2001-11-03,Cignature,South Korea,,Goyang,UNIS,Good Day,
Female,Belle,Shim Hyewon,2004-03-20,KISS OF LIFE,South Korea,USA,Seattle,,,
Female,Bessie,Kim Susanna,2004-07-15,Lapillus,South Korea,,Changwon,,,
Female,Bian,Yu Jiwon,2001-02-13,MAJORS,South Korea,,,,ANS,
Female,BIBI,Kim Hyungseo,1998-09-27,,South Korea,,,,,
Female,Blue,Jung Gahee,1994-01-18,Pungdeng-E,South Korea,,Gwangju,,,
Female,BoA,Kwon Boa,1986-11-05,,South Korea,,Guri,,,
Female,Boa,Kim Boah,1987-01-14,KEEMBO,South Korea,,,,SPICA,
Female,Boeun,Park Boeun,2008-02-11,CLASS:y,South Korea,,,,,
Female,Bohyung,Kim Bohyung,1991-03-31,KEEMBO,South Korea,,,SPICA-S,SPICA,
Female,Bom,Park Bom,1984-03-24,2NE1,South Korea,,,,,
Female,Bomi,Yoon Bomi,1993-08-13,Apink,South Korea,,Suwon,Chobom,,
Female,Bomin,Kim Bomin,2001-09-24,RedSquare,South Korea,,Gwangju,,Good Day,Dancer
Female,Bona,Kim Jiyeon,1995-08-19,WJSN,South Korea,,Daegu,WJSN The Black,,
Female,Boni,Choi Euijeong,1999-10-30,Dreamnote,South Korea,,,,,
Female,Bora,Yoon Bora,1989-12-30,SISTAR,South Korea,,,SISTAR19,,
Female,Bora,Kim Bora,1999-03-03,Cherry Bullet,South Korea,,,,,
Female,Boram,Jeon Boram,1986-03-22,,South Korea,,Seoul,,T-ara,
Female,Cao Lu,Cao Lu,1987-08-30,Fiestar,China,,Zhangjiajie,,,
Female,Chaebin,Choi Yoobin,1999-07-28,NATURE,South Korea,,,,,
Female,Chaeeun,Yoon Chaeeun,2005-12-10,ADYA,South Korea,,Mokpo,,,
Female,Chaehyun,Kim Chaehyun,1999-11-29,Bonus Baby,South Korea,,,,,
Female,Chaehyun,Kim Chaehyun,2002-04-26,Kep1er,South Korea,,,,,
Female,Chaein,Lee Chaeyoung,2002-12-05,Purple Kiss,South Korea,,,,,
Female,Chaejeong,Lee Chaejeong,1999-08-26,ALICE,South Korea,,,,,
Female,Chaekyung,Yoon Chaekyung,1996-07-07,APRIL,South Korea,,Incheon,"C.I.V.A, I.B.I",Puretty,
Female,Chaelin,Lee Chaelin,1999-10-20,FANATICS,South Korea,,,,,
Female,Chaerin,Park Chaerin,2002-03-13,Cherry Bullet,South Korea,,,,,
Female,Chaerin,Park Chaerin,2003-03-31,ICHILLIN',South Korea,,,,,
Female,Chaerin,Lee Chaerin,2007-07-07,KELT9b,South Korea,,,,,
Female,Chaeryeong,Lee Chaeryeong,2001-06-05,ITZY,South Korea,,Yongin,,,
Female,Chaesol,Maeng Chaesol,1998-07-14,Cignature,South Korea,,Yeosu,,Good Day,
Female,Chaewon,Kim Chaewon,1997-11-08,APRIL,South Korea,,Gongju,,,
Female,Chaewon,Kim Chaewon,2000-08-01,LE SSERAFIM,South Korea,,Seoul,,IZ*ONE,
Female,Chaewon,Lee Chaewon,2000-03-18,Maka Maka,South Korea,,,,,
Female,Chaewon,Yoon Chaewon,2003-06-04,CLASS:y,South Korea,,,,,
Female,ChaeY,Song Chaeyeon,2003-01-06,CRAXY,South Korea,,,,,
Female,Chaeyeon,Jung Chaeyeon,1997-12-01,DIA,South Korea,,Suncheon,,I.O.I,
Female,Chaeyeon,Kim Chaeyeon,2004-12-04,tripleS,South Korea,,,,Busters,
Female,Chaeyeon,Lee Chaeyeon,2000-01-11,IZ*ONE,South Korea,,Yongin,,,
Female,Chaeyoung,Son Chaeyoung,1999-04-23,Twice,South Korea,,Seoul,,,
Female,Chaeyoung,Lee Chaeyoung,2000-05-14,fromis_9,South Korea,,Pohang,,,
Female,Chahee,Park Sooyoung,1996-03-24,MELODYDAY,South Korea,,,,,Sub Vocalist
Female,Chanmi,Kim Chanmi,1996-06-19,AoA,South Korea,,Gumi,,,
Female,Chanty,Maria Chantal Videla,2002-12-15,Lapillus,Philippines,Argentina,Manila,,,
Female,Cheng Xiao,Cheng Xiao,1998-07-15,,China,,Shenzhen,,WJSN,
Female,Cheongeum,Jang Cheongeum,1996-06-19,Ho1iday,South Korea,,,,,
Female,Chi.u,Lee Jaeyi,1998-08-16,,South Korea,,,,X:IN,
Female,Chiayi,Li Chiayi,2000-01-22,FANATICS,Taiwan,,,FANATICS FLAVOR,,
Female,Chiquita,Riracha Phondechaphiphat,2009-02-17,BABYMONSTER,Thailand,,,,,
Female,Chloe,Yun Jiwon,2001-01-06,Cignature,South Korea,,Seoul,,,
Female,Chloe Young,Chloe Duong,2001-10-31,BADVILLAIN,South Korea,Canada,,,,
Female,Choa,Park Choa,1990-03-06,,South Korea,,Incheon,,"AoA, AOA BLACK",
Female,Choa,Heo Minjin,1990-07-12,Crayon Pop,South Korea,,Seoul,,,
Female,Choerry,Choi Yerim,2001-06-04,ARTMS,South Korea,,,"Loona Odd Eye Circle, ARTMS",LOONA,
Female,Chorong,Park Chorong,1991-03-03,Apink,South Korea,,Chungwongoon,Chobom,,
Female,Chowon,Han Chowon,2002-09-16,LIGHTSUM,South Korea,,Seoul,,,
Female,Chowon,Kim Chowon,2005-08-18,ICHILLIN',South Korea,,,,,
Female,Choyeon,Kim Choyeon,2001-08-01,bugAboo,South Korea,,,,,
Female,Chungha,Kim Chungha,1996-02-09,,South Korea,,Dallas,,I.O.I,
Female,Chuu,Kim Jiwoo,1999-10-20,,South Korea,,Cheongju,Loona yyxy,LOONA,
Female,CL,Lee Chaerin,1991-02-26,2NE1,South Korea,,,,,
Female,Cyan,Lee Chaeeun,2001-04-04,bugAboo,South Korea,,Sanbon,,,
Female,D.ana,Cho Eunae,1995-09-10,Sonamoo,South Korea,,Seoul,,,Rapper
Female,Dabi,Park Jiwon,2000-01-19,AREAL,South Korea,,,,MIDNIGHT,
Female,Daeun,Jung Daeun,1994-06-03,2EYES,South Korea,,Bucheon,,,
Female,Daewang Nim,Daewang Nim,1996-04-08,Pink Fantasy,South Korea,,,,,
Female,Dahye,Song Dahye,1993-06-12,,South Korea,,,,"EXID, BESTie",
Female,Dahyun,Kim Dahyun,1998-05-28,Twice,South Korea,,Seongnam,,,
Female,Dahyun,Jeong Dahyun,2005-04-29,Rocket Punch,South Korea,,,,,
Female,Dahyun,Seo Dahyun,2003-01-08,tripleS,South Korea,,Busan,,,
Female,Dain,Song Jieun,1990-06-25,,South Korea,,,,Wassup,
Female,Dain,Jung Dain,2004-12-15,HOT ISSUE,South Korea,,,,,
Female,Daisy,Yoo Jeongahn,1999-01-22,,South Korea,,Seoul,,MOMOLAND,
Female,Dajeong,Kim Dajeong,1995-08-08,Hashtag,South Korea,,Gwangju,,,
Female,Dajeong,Jung Dajeong,2003-07-31,Pixy,South Korea,,,,,
Female,Dakyung,Jung Dakyung,2001-07-23,Hi-L,South Korea,,,,,
Female,Dalyn,Lee Sohyun,1999-08-27,ANS,South Korea,,,,,
Female,Damhee,Park Damhee,2000-06-21,ARTBEAT,South Korea,,,,,
Female,Dami,Lee Yoobin,1997-03-07,Dreamcatcher,South Korea,,Seoul,,Minx,
Female,Dami,Hong Dayoung,2001-06-07,ANS,South Korea,,,,,
Female,Damin,Kang Damin,2004-03-24,Queenz Eye,South Korea,,Seoul,,,
Female,Dan-a,Park Seungyeon,1993-06-26,Matilda,South Korea,,,,,
Female,Dana,Jang Dana,2003-12-25,HOT ISSUE,South Korea,,,,,
Female,Danielle,Mo Jihye,2005-04-11,NewJeans,South Korea,Australia,Munsan,,,
Female,Dany,Jeon Eunji,1998-01-20,Ho1iday,South Korea,,,,,
Female,Dara,Park Sandara,1984-11-12,2NE1,South Korea,,,,,
Female,Daseul,Yang Daseul,2000-09-14,Maka Maka,South Korea,,,,,
Female,Dasom,Kim Dasom,1993-05-06,SISTAR,South Korea,,,,,
Female,Dasom,Lee Dasom,1993-11-13,2EYES,South Korea,,Cheongju,,,
Female,Dawon,Nam Dawon,1997-03-16,WJSN,South Korea,,Seoul,,,
Female,Dawon,Lee Dawon,1996-12-02,ARIAZ,South Korea,,,,,
Female,Daye,Kim Hyunjung,1998-02-25,Berry Good,South Korea,,,,,
Female,Dayeon,Hwang Da Kyeon,1995-11-17,XUM,South Korea,,,,NeonPunch,
Female,Dayeon,Kim Dayeon,2003-03-02,Kep1er,South Korea,,,,,
Female,Dayoung,Kim Dayoung,1991-02-02,Blady,South Korea,,Jeonju,,,
Female,Dayoung,Im Dayoung,1999-05-14,WJSN,South Korea,,Jeju,WJSN Chocome,,
Female,Dayun,Kim Dayun,2000-11-20,Bonus Baby,South Korea,,,,,
Female,Della,Park Sehyun,1995-09-03,Rockit Girl,South Korea,,,,,
Female,Denise,Kim Denise,2001-01-11,,South Korea,USA,,,SECRET NUMBER,
Female,Dia,Kwak Minnyeong,1999-09-03,Maka Maka,South Korea,,,,,
Female,Dia,Choi Eunji,2001-07-16,Pixy,South Korea,,,,,
Female,Dita,Dita Karang,1996-12-25,SECRET NUMBER,Indonesia,,Yogyakarta,,,
Female,Do-A,Choi Yuna,1999-02-02,ALICE,South Korea,,,,,
Female,Doa,Im Youngseo,2001-10-29,We,Na,South Korea,,,,
Female,Doah,Kim Doah,2003-12-04,FANATICS,South Korea,,,FANATICS FLAVOR,,
Female,Doeun,Kim Doeun,2007-12-24,YOUNG POSSE,South Korea,,Asan,,,
Female,Dohee,Yoon Dohee,1999-09-24,,South Korea,,,,NeonPunch,
Female,Dohee,Min Dohee,1994-09-25,Tiny-G,South Korea,,,,,
Female,Dohee,Kwon Dohee,2002-08-01,Cignature,South Korea,,Seoul,,,
Female,Doi,Kim Doi,1994-04-12,FANATICS,South Korea,,,,,
Female,Dosie,Jang Eunseung,2000-02-11,Purple Kiss,South Korea,,,,,
Female,Doyeon,Kim Doyeon,1999-12-04,Weki Meki,South Korea,,Incheon,"I.O.I, WJMK",,
Female,Duna,Kang Duna,2005-04-28,CSR,South Korea,,Gangwon,,,
Female,E-Young,Noh Yiyoung,1992-08-16,After School,South Korea,,Chuncheon,,,
Female,E.Ji,Choi Jiwon,2000-11-08,ICHILLIN',South Korea,,,,,
Female,E.sha,Kwon Yena,1998-12-29,X:IN,Australia,South Korea,,,,
Female,E:U,Park Jiwon,1998-05-19,Everglow,South Korea,,,,,
Female,EJ,Kim Eunji,1997-08-13,ALICE,South Korea,,,,,
Female,Elisia,Elisia Lyrisse Parmisano,2009-04-18,UNIS,Philippines,,,,,
Female,Elkie,Chong Ting Yan,1998-11-02,,Hong Kong,,Hong Kong,,CLC,
Female,Ella,Kim Kyungjoo,1998-03-26,,South Korea,,,,"Cherry Bullet, Pixy",
Female,Ellin,Kim Minyoung,1990-04-02,Crayon Pop,South Korea,,Daegu,,,
Female,Elly,Jung Haerim,1998-07-20,Weki Meki,South Korea,,,,,
Female,Ellyn,Bang Sunhee,2002-10-19,Girlkind,South Korea,,,,,
Female,Elva,Lee Yonghwa,2003-05-05,ILY:1,South Korea,,,,,
Female,Emma,Song Hyemin,2000-04-26,BADVILLAIN,South Korea,,Seoul,,,
Female,Eseo,Noh Hyunjung,1996-03-04,LUNARSOLAR,South Korea,,,,,
Female,Euaerin,Lee Hyemin,1988-05-03,,South Korea,,Seoul,,9Muses,
Female,Euijeong,Yeon Euijeong,2001-07-21,KELT9b,South Korea,,,,,
Female,Euijin,Hong Euijin,1996-10-08,Sonamoo,South Korea,,Gwangju,UNI.T,,
Female,Eun,Choi Eunmi,1990-05-14,Two X,South Korea,,,,,
Female,Euna,,2003-05-25,We,Na,South Korea,,,,
Female,EunB,Shin Eunbi,2000-09-17,Maka Maka,South Korea,,,,Lip Bubble,
Female,EunB,Byun Eunbi,2000-11-23,PRECIOUS,South Korea,,Busan,,,
Female,Eunbi,Kwon Eunbi,1995-09-27,IZ*ONE,South Korea,,Seoul,,,
Female,Eunbin,Kwon Eunbin,2000-01-06,CLC,South Korea,,Seoul,,,
Female,Eunchae,Kwon Chaewon,1999-05-26,DIA,South Korea,,,,,
Female,Eunchae,Son Eunchae,1999-10-06,bugAboo,South Korea,,Pohang,,,
Female,Eunchae,Hong Eunchae,2006-11-10,LE SSERAFIM,South Korea,,,,,
Female,Eunha,Jung Eunbi,1997-05-30,VIVIZ,South Korea,,Seoul,,Gfriend,
Female,Eunice,Heo Sooyeon,1991-09-02,DIA,South Korea,,Busan,,,
Female,Eunji,Jung Eunji,1993-08-18,Apink,South Korea,,Busan,,,
Female,Eunji,Hong Eunji,1992-07-19,Brave Girls,South Korea,,Seoul,,,
Female,Eunjin,Ahn Eunjin,1997-08-31,,South Korea,,Mokpo,,DIA,
Female,Eunjin,Ma Eunjin,1997-05-23,Playback,South Korea,,Wonju,,,
Female,Eunjin,Moon Eunjin,1998-11-05,Highteen,South Korea,,,,,
Female,Eunjo,Park Eunjo,2002-03-07,Dreamnote,South Korea,,,,,
Female,Eunjung,Ham Eunjung,1988-12-12,T-ara,South Korea,,Seoul,,,
Female,Eunseo,Son Juyeon,1998-05-27,WJSN,South Korea,,Incheon,WJSN The Black,,
Female,Eunwoo,Jeong Eunwoo,1998-07-01,Hinapia,South Korea,,,Pristin V,Pristin,
Female,Eunyoung,Joo Eunyoung,1992-06-12,Two X,South Korea,,,,,
Female,Exy,Chu Sojung,1995-11-06,WJSN,South Korea,,Busan,WJSN The Black,,Leader
Female,Eyedi,Nam Yujin,1995-12-08,,South Korea,,,,,
Female,Fatou,Fatou Samba,1995-03-23,Blackswan,Belgium,Senegal,Yoff,,,
Female,Fei,Wang FeiFei,1987-04-27,miss A,China,,Haikou,,,
Female,G.NA,Gina Jane Choi,1987-09-13,,Canada,South Korea,Edmonton,,,
Female,Gabi,Gabriela Strassburger Dalcin,2002-11-07,Blackswan,Brazil,Germany,Santa Catarina,,,
Female,Gabin,Kim Gabin,1989-09-18,Blady,South Korea,,Busan,,,
Female,Gaeul,Park Gaeul,1999-05-08,Favorite,South Korea,,Seoul,,,
Female,Gaeul,Kim Gaeul,2002-09-24,IVE,South Korea,,Incheon,,,
Female,Gaeun,Cho Kaeun,1992-07-28,,South Korea,,Changwon,,Dal Shabet,
Female,Gaeun,Oh Gaeun,2005-11-08,Madein,South Korea,,,LIMELIGHT,,
Female,Gaeun,Lee Gaeun,2000-07-18,ARTBEAT,South Korea,,,,,
Female,Gaga,Lee Soobin,1994-11-10,Gate9,South Korea,,,,,
Female,Gaga,Li Jia Jia,1999-09-01,,China,,,,NATURE,
Female,Gahyeon,Lee Gahyeon,1999-02-03,Dreamcatcher,South Korea,,Seongnam,,,
Female,Gain,Son Gain,1987-09-20,Brown Eyed Girls,South Korea,,,,,
Female,Gaon,Beom Gaon,2001-03-09,Bonus Baby,South Korea,,,,,
Female,Garam,Kim Garam,2005-11-16,,South Korea,,,,LE SSERAFIM,
Female,Gayoon,Heo Gayoon,1990-05-18,4minute,South Korea,,Seoul,2YOON,,
Female,Gayoung,Kim Gayoung,1991-12-02,Stellar,South Korea,,Seoul,,,
Female,Gehlee,Gehlee Dangca,2007-08-19,UNIS,Philippines,,Las Pinas,,,
Female,Genie,Cho Heejin,2002-03-19,TRACER,South Korea,,,,,
Female,Geumhee,Han Geumhee,2005-03-04,CSR,South Korea,,Incheon,,,
Female,Geummi,Baek Boram,1988-06-18,Crayon Pop,South Korea,,Seoul,,,Leader
Female,Giru,Park Giru,1991-08-14,Blady,South Korea,,Incheon,,,
Female,Giselle,Uchinaga Aeri,2000-10-30,aespa,Japan,,,,,
Female,Goeun,Na Goeun,1999-09-03,Purple Kiss,South Korea,,,,,
Female,Gowon,Park Chaewon,2000-11-19,Loossemble,South Korea,,,Loona yyxy,LOONA,
Female,Gowoon,Moon Yujeong,1998-12-18,Berry Good,South Korea,,,,,
Female,Gracie,Kim Gaeun,1996-10-28,H.U.B,South Korea,,,,,
Female,Gyuri,Park Gyuri,1988-05-21,KARA,South Korea,,Seoul,,,
Female,Gyuri,Jang Gyuri,1997-12-27,,South Korea,,Seoul,,fromis_9,
Female,Habin,Yoo Habin,2002-03-10,,South Korea,,,,Dreamnote,
Female,Haebin,Han Haebin,1995-08-16,Gugudan,South Korea,,,,,
Female,Haein,Yeom Haein,1995-05-19,LABOUM,South Korea,,Ojeonggu,,,Lead Dancer
Female,Haena,Lee Haena,1991-06-02,Matilda,South Korea,,,,,
Female,Haena,Jeon Eunbi,2002-02-19,ANS,South Korea,,,,,
Female,Haeri,Lee Haeri,1985-02-14,Davichi,South Korea,,Seoul,,,
Female,Haeri,Jung Haeri,1997-01-14,P.O.P,South Korea,,Seoul,,,
Female,Haerin,Kang Haerin,2006-05-15,NewJeans,South Korea,,Gimcheon,,,
Female,Haeryeong,Na Haeryeong,1994-11-11,BESTie,South Korea,,,,,
Female,Haeun,Yoon Haeun,1999-03-12,3YE,South Korea,,,,Apple.B,
Female,Haeun,Lim Haeun,2008-11-02,Lapillus,South Korea,,,,,
Female,Haeun,Lee Haeun,2002-06-25,ARTBEAT,South Korea,,,,,
Female,Haewon,Oh Haewon,2003-02-25,NMIXX,South Korea,,,,,
Female,Haeyeon,Lee Taeyeon,1994-01-11,Gate9,South Korea,,,,,
Female,Haeyoon,Park Haeyoon,1996-01-10,Cherry Bullet,South Korea,,,,,
Female,Hajeong,Lee Hajeong,1997-09-23,,South Korea,,,,NeonPunch,
Female,Han Hyeri,Han Hyeri,1997-08-24,I.B.I,South Korea,,Gwangmyeong,,,
Female,Han Leeseul,Han Jiyoon,2000-02-12,Rockit Girl,South Korea,,,,,
Female,Hana,Shin Bora,1993-04-30,Gugudan,South Korea,,,,,
Female,Hana,Jung Hana,1990-02-02,SECRET,South Korea,,Uljeongbu,,,
Female,Hana,Hayase Hana,2000-02-27,ILY:1,Japan,,,,,
Female,Hanbyeol,Ahn Hanbyeol,2003-10-13,,South Korea,,,,Dreamnote,
Female,Hanbyul,Kyung Hanbyul,2005-07-01,PRECIOUS,South Korea,,Seoul,,,
Female,Handong,Han Dong,1996-03-26,Dreamcatcher,China,,Wuhan,,,
Female,Haneul,Choi Haneul,2000-11-28,Saturday,South Korea,,,,,
Female,Haneul,Won Haneul,2005-05-25,KISS OF LIFE,South Korea,,Suwon,,,
Female,Hani,Ahn Hee-yeon,1992-05-01,EXID,South Korea,,Seoul,,,
Female,Hanna,Shin Jiyeon,1994-02-19,MIXX,South Korea,,,,,Leader
Female,Hannah,Bae Hyunyoung,1999-10-23,Queenz Eye,South Korea,,Seongnam,,,
Female,Hannah,Kang Minkyung,2003-01-04,X:IN,South Korea,,,,,
Female,Hanni,Pham Ngoc Han,2004-10-06,NewJeans,Vietnam,,Melbourne,,,
Female,Hanwoom,Byun Hanwoom,2001-06-05,PRECIOUS,South Korea,,Seoul,,,
Female,Haram,Kim Haram,2001-01-13,Billlie,South Korea,,,,,
Female,Haram,Shin Haram,2007-10-17,BABYMONSTER,South Korea,,,,,
Female,Hara�,Koo Hara,1991-01-13,KARA,South Korea,,Gwangju,,,
Female,Hari,,2005-04-08,Girls' World,Japan,,Kagoshima,,,
Female,Harin,,1995-11-21,Lusty,South Korea,,Seoul,,,Sub Vocal
Female,Harin,Park Guenhye,2000-05-26,Pink Fantasy,South Korea,,,,,
Female,Harin,Seo Harin,2000-12-07,BOTOPASS,South Korea,,,,,
Female,Haru,Han Sangsook,1994-07-06,Gate9,South Korea,,Bucheon,,,
Female,Haru,Abe Haruno,2000-02-21,NATURE,Japan,,,,,
Female,Haru,Lee Yoojeong,1997-02-26,Ho1iday,South Korea,,,,MyB,
Female,Haruna,Osato Haruna,2006-01-30,Billlie,Japan,,,,,
Female,Haseul,Jo Haseul,1997-08-18,ARTMS,South Korea,,Ansan,Loona 1/3,LOONA,
Female,Hayeon,Jeong Hayeon,2007-08-01,tripleS,South Korea,,,,,
Female,Hayoon,Jung Hayoon,1998-11-21,Bonus Baby,South Korea,,,,MyB,
Female,Hayoung,Oh Hayoung,1996-07-19,Apink,South Korea,,Seoul,,,
Female,Hayoung,Lee Hayoung,1993-08-03,Playback,South Korea,,,,,
Female,Hayoung,Song Hayoung,1997-09-29,fromis_9,South Korea,,Gwangju,,,
Female,Hayun,Lee Hayun,1994-08-29,,South Korea,,Changwon,,Brave Girls,
Female,Hayun,Choi Hayun,2004-01-16,Hi-L,South Korea,,Seoul,,,
Female,Hayun,Ha Seyun,2003-11-20,PRIMROSE,South Korea,,,,,
Female,Heejin,Jeon Heejin,2000-10-19,ARTMS,South Korea,,Seongnam,"Loona 1/3,ARTMS",LOONA,
Female,Heejin,Song Heejin,1995-08-19,Good Day,South Korea,,Seoul,,,
Female,Heejoo,Jeon Heejoo,1996-11-30,Ho1iday,South Korea,,,,MyB,
Female,Heeo,Gwak Heeoh,1994-05-02,4TEN,South Korea,,,,,
Female,Heesu,Kim Heesu,1998-03-24,Maka Maka,South Korea,,,,,
Female,Heesun,Park Heesun,2005-01-25,Pink Fantasy,South Korea,,,,,
Female,Heeyu,Choi Heejae,1995-06-30,MIXX,South Korea,,,,,
Female,Henny,Kang Gayoung,1994-12-01,,South Korea,,,,MIXX,
Female,High.D,Kim Dohee,1996-12-21,Sonamoo,South Korea,,Suwon,,,Main Vocalist
Female,Hikaru,Ezaki Hikaru,2004-03-12,Kep1er,Japan,,,,,
Female,Hina,Nagai Hina,2003-04-07,LIGHTSUM,Japan,,Kanagawa,,,
Female,Hitomi,Honda Hitomi,2001-10-06,IZ*ONE,Japan,,Toghichi,,,
Female,Hu'e,Kim Inhye,2003-11-20,BADVILLAIN,South Korea,,,,,
Female,Huihyeon,Ki Huihyeon,1995-06-16,DIA,South Korea,,Namwon,,,
Female,Huiyeon,Oh Huiyeon,2005-08-01,,South Korea,,,,LIGHTSUM,
Female,Hwasa,Ahn Hyejin,1995-07-23,Mamamoo,South Korea,,Jeonju,,,Lead Vocalist
Female,Hwiseo,Jo Hwihyeon,2002-07-31,H1-KEY,South Korea,,,,,
Female,Hyangsuk,Lee Hyangsuk,1991-04-24,2EYES,South Korea,,Seoul,,,
Female,Hyebin,Lee Hyebin,1996-01-12,MOMOLAND,South Korea,,Andong,,,
Female,Hyebin,Im Hyebin,1999-11-10,Highteen,South Korea,,,,,
Female,Hyebin,Kim Hyebin,1997-03-29,AREAL,South Korea,,,,Rose Finger,
Female,Hyein,Lee Hyein,2008-04-21,NewJeans,South Korea,,Incheon,,,
Female,Hyejeong,Shin Hyejeong,1993-08-10,AoA,South Korea,,Seoul,,,
Female,Hyeji,Jeong Hyeji,1992-04-02,4TEN,South Korea,,Seoul,,,
Female,Hyejin,Baek Hyejin,1996-11-21,4TEN,South Korea,,Sacheon,,,
Female,Hyejin,Kang Hyejin,2000-07-13,CRAXY,South Korea,,,,,
Female,Hyejoo,Park Hyunjoo,1999-01-12,Highteen,South Korea,,,,,
Female,Hyeju,Son Hyeju,2001-11-13,Loossemble,South Korea,,,Loona yyxy,LOONA,
Female,Hyeju,Hong Hyeju,2003-12-09,CLASS:y,South Korea,,Seoul,,,
Female,Hyemi,Pyo Hyemi,1991-04-03,9Muses,South Korea,,Gwangju,9MUSES A,,
Female,Hyemi,Kim Hyemi,1990-08-10,Fiestar,South Korea,,Seoul,,,
Female,Hyeoeun,Lee Hyoeun,1993-03-16,Stellar,South Korea,,Seoul,,,
Female,Hyeongshin,Kim Hyungshin,2002-05-03,HOT ISSUE,South Korea,,,,,
Female,Hyeran,Noh Hyeran,1993-04-09,,South Korea,,,,Brave Girls,
Female,Hyeri,Lee Hyeri,1994-06-09,Girl's Day,South Korea,,Gwangju,,,
Female,Hyerim,Woo Hyerim,1992-09-01,Wonder Girls,South Korea,,Seoul,,,
Female,Hyerin,Seo Hyerin,1993-08-23,EXID,South Korea,,Gwangju,,,
Female,Hyerin,Kim Hyerin,1993-06-13,2EYES,South Korea,,Seoul,,,
Female,Hyerin,Jeong Hyerin,2007-04-12,tripleS,South Korea,,,,,
Female,Hyewon,Kang Hyewon,1999-07-05,IZ*ONE,South Korea,,Yangsan,,,
Female,Hyeyeon,Kang Hyeyeon,1990-12-08,BESTie,South Korea,,,,EXID,
Female,Hyeyeon,Cho Hyeyeon,2000-08-05,,South Korea,,,Gugudan Oguogu,Gugudan,
Female,Hyogyeong,Jang Hyogyeong,1999-11-15,ARIAZ,South Korea,,,,,
Female,Hyojung,Choi Hyojung,1994-07-28,Oh My Girl,South Korea,,Yangyang,,,
